Student: Student75, id: 1075, gender: F, discipline: Science, years of study: 2, GPA: 3.6
Student: Student15, id: 1015, gender: M, discipline: Engineering, years of study: 4, GPA: 3.44
Student: Student19, id: 1019, gender: M, discipline: Engineering, years of study: 3, GPA: 3.41
Student: Student1, id: 1001, gender: F, discipline: Engineering, years of study: 3, GPA: 3.39
Student: Student80, id: 1080, gender: M, discipline: Science, years of study: 3, GPA: 3.38
Student: Student70, id: 1070, gender: F, discipline: Science, years of study: 2, GPA: 3.32
Student: Student82, id: 1082, gender: F, discipline: Science, years of study: 3, GPA: 3.32
Student: Student53, id: 1053, gender: F, discipline: Science, years of study: 2, GPA: 3.3
Student: Student94, id: 1094, gender: M, discipline: Science, years of study: 3, GPA: 3.29
Student: Student38, id: 1038, gender: F, discipline: Engineering, years of study: 2, GPA: 3.27
Student: Student40, id: 1040, gender: F, discipline: Engineering, years of study: 4, GPA: 3.27
Student: Student76, id: 1076, gender: F, discipline: Science, years of study: 1, GPA: 3.27
Student: Student4, id: 1004, gender: F, discipline: Engineering, years of study: 4, GPA: 3.26
Student: Student6, id: 1006, gender: M, discipline: Engineering, years of study: 2, GPA: 3.24
Student: Student58, id: 1058, gender: F, discipline: Science, years of study: 4, GPA: 3.24
Student: Student79, id: 1079, gender: F, discipline: Science, years of study: 1, GPA: 3.23
Student: Student22, id: 1022, gender: F, discipline: Engineering, years of study: 4, GPA: 3.22
Student: Student31, id: 1031, gender: F, discipline: Engineering, years of study: 3, GPA: 3.22
Student: Student92, id: 1092, gender: M, discipline: Science, years of study: 4, GPA: 3.22
Student: Student9, id: 1009, gender: M, discipline: Engineering, years of study: 2, GPA: 3.2
Student: Student60, id: 1060, gender: F, discipline: Science, years of study: 4, GPA: 3.2
Student: Student100, id: 1100, gender: F, discipline: Science, years of study: 4, GPA: 3.2
Student: Student25, id: 1025, gender: F, discipline: Engineering, years of study: 3, GPA: 3.19
Student: Student28, id: 1028, gender: M, discipline: Engineering, years of study: 4, GPA: 3.19
Student: Student50, id: 1050, gender: F, discipline: Engineering, years of study: 3, GPA: 3.19
Student: Student69, id: 1069, gender: M, discipline: Science, years of study: 1, GPA: 3.17
Student: Student87, id: 1087, gender: M, discipline: Science, years of study: 1, GPA: 3.17
Student: Student43, id: 1043, gender: M, discipline: Engineering, years of study: 4, GPA: 3.12
Student: Student12, id: 1012, gender: F, discipline: Engineering, years of study: 4, GPA: 3.1
Student: Student13, id: 1013, gender: M, discipline: Engineering, years of study: 1, GPA: 3.1
Student: Student54, id: 1054, gender: M, discipline: Science, years of study: 3, GPA: 3.09
Student: Student91, id: 1091, gender: F, discipline: Science, years of study: 3, GPA: 3.08
Student: Student7, id: 1007, gender: F, discipline: Engineering, years of study: 1, GPA: 3.07
Student: Student61, id: 1061, gender: F, discipline: Science, years of study: 1, GPA: 3.07
Student: Student95, id: 1095, gender: M, discipline: Science, years of study: 3, GPA: 3.06
Student: Student86, id: 1086, gender: F, discipline: Science, years of study: 4, GPA: 3.04
Student: Student3, id: 1003, gender: F, discipline: Engineering, years of study: 2, GPA: 3.03
Student: Student27, id: 1027, gender: F, discipline: Engineering, years of study: 3, GPA: 3.03
Student: Student85, id: 1085, gender: F, discipline: Science, years of study: 3, GPA: 3.03
Student: Student81, id: 1081, gender: F, discipline: Science, years of study: 2, GPA: 3.02
Student: Student36, id: 1036, gender: M, discipline: Engineering, years of study: 3, GPA: 3.01
Student: Student78, id: 1078, gender: M, discipline: Science, years of study: 2, GPA: 3.01
Student: Student74, id: 1074, gender: M, discipline: Science, years of study: 3, GPA: 3.0
Student: Student20, id: 1020, gender: F, discipline: Engineering, years of study: 1, GPA: 2.99
Student: Student46, id: 1046, gender: F, discipline: Engineering, years of study: 2, GPA: 2.98
Student: Student51, id: 1051, gender: M, discipline: Science, years of study: 1, GPA: 2.98
Student: Student83, id: 1083, gender: M, discipline: Science, years of study: 4, GPA: 2.98
Student: Student2, id: 1002, gender: F, discipline: Engineering, years of study: 4, GPA: 2.97
Student: Student55, id: 1055, gender: M, discipline: Science, years of study: 1, GPA: 2.97
Student: Student41, id: 1041, gender: F, discipline: Engineering, years of study: 2, GPA: 2.96
Student: Student47, id: 1047, gender: M, discipline: Engineering, years of study: 2, GPA: 2.95
Student: Student48, id: 1048, gender: F, discipline: Engineering, years of study: 4, GPA: 2.95
Student: Student52, id: 1052, gender: F, discipline: Science, years of study: 3, GPA: 2.94
Student: Student5, id: 1005, gender: M, discipline: Engineering, years of study: 2, GPA: 2.92
Student: Student99, id: 1099, gender: M, discipline: Science, years of study: 2, GPA: 2.92
Student: Student11, id: 1011, gender: M, discipline: Engineering, years of study: 3, GPA: 2.91
Student: Student63, id: 1063, gender: F, discipline: Science, years of study: 2, GPA: 2.91
Student: Student67, id: 1067, gender: F, discipline: Science, years of study: 1, GPA: 2.91
Student: Student84, id: 1084, gender: F, discipline: Science, years of study: 3, GPA: 2.9
Student: Student14, id: 1014, gender: F, discipline: Engineering, years of study: 3, GPA: 2.89
Student: Student66, id: 1066, gender: F, discipline: Science, years of study: 2, GPA: 2.89
Student: Student68, id: 1068, gender: M, discipline: Science, years of study: 3, GPA: 2.89
Student: Student10, id: 1010, gender: M, discipline: Engineering, years of study: 1, GPA: 2.87
Student: Student16, id: 1016, gender: F, discipline: Engineering, years of study: 1, GPA: 2.87
Student: Student96, id: 1096, gender: M, discipline: Science, years of study: 1, GPA: 2.87
Student: Student88, id: 1088, gender: F, discipline: Science, years of study: 1, GPA: 2.86
Student: Student65, id: 1065, gender: M, discipline: Science, years of study: 4, GPA: 2.85
Student: Student42, id: 1042, gender: M, discipline: Engineering, years of study: 3, GPA: 2.84
Student: Student90, id: 1090, gender: F, discipline: Science, years of study: 2, GPA: 2.84
Student: Student8, id: 1008, gender: M, discipline: Engineering, years of study: 3, GPA: 2.83
Student: Student21, id: 1021, gender: M, discipline: Engineering, years of study: 1, GPA: 2.83
Student: Student33, id: 1033, gender: F, discipline: Engineering, years of study: 1, GPA: 2.81
Student: Student59, id: 1059, gender: M, discipline: Science, years of study: 1, GPA: 2.81
Student: Student44, id: 1044, gender: M, discipline: Engineering, years of study: 4, GPA: 2.8
Student: Student98, id: 1098, gender: F, discipline: Science, years of study: 1, GPA: 2.8
Student: Student62, id: 1062, gender: F, discipline: Science, years of study: 2, GPA: 2.79
Student: Student34, id: 1034, gender: M, discipline: Engineering, years of study: 1, GPA: 2.78
Student: Student89, id: 1089, gender: F, discipline: Science, years of study: 1, GPA: 2.78
Student: Student56, id: 1056, gender: F, discipline: Science, years of study: 2, GPA: 2.77
Student: Student30, id: 1030, gender: M, discipline: Engineering, years of study: 1, GPA: 2.76
Student: Student45, id: 1045, gender: M, discipline: Engineering, years of study: 2, GPA: 2.76
Student: Student29, id: 1029, gender: F, discipline: Engineering, years of study: 3, GPA: 2.74
Student: Student57, id: 1057, gender: M, discipline: Science, years of study: 2, GPA: 2.74
Student: Student39, id: 1039, gender: F, discipline: Engineering, years of study: 3, GPA: 2.73
Student: Student35, id: 1035, gender: M, discipline: Engineering, years of study: 1, GPA: 2.72
Student: Student24, id: 1024, gender: M, discipline: Engineering, years of study: 4, GPA: 2.71
Student: Student32, id: 1032, gender: M, discipline: Engineering, years of study: 2, GPA: 2.71
Student: Student64, id: 1064, gender: F, discipline: Science, years of study: 1, GPA: 2.7
Student: Student72, id: 1072, gender: F, discipline: Science, years of study: 4, GPA: 2.7
Student: Student77, id: 1077, gender: F, discipline: Science, years of study: 1, GPA: 2.7
Student: Student37, id: 1037, gender: M, discipline: Engineering, years of study: 4, GPA: 2.69
Student: Student71, id: 1071, gender: M, discipline: Science, years of study: 1, GPA: 2.65
Student: Student17, id: 1017, gender: F, discipline: Engineering, years of study: 3, GPA: 2.64
Student: Student23, id: 1023, gender: F, discipline: Engineering, years of study: 4, GPA: 2.64
Student: Student93, id: 1093, gender: F, discipline: Science, years of study: 4, GPA: 2.64
Student: Student73, id: 1073, gender: M, discipline: Science, years of study: 4, GPA: 2.63
Student: Student97, id: 1097, gender: F, discipline: Science, years of study: 3, GPA: 2.63
Student: Student26, id: 1026, gender: M, discipline: Engineering, years of study: 3, GPA: 2.61
Student: Student49, id: 1049, gender: M, discipline: Engineering, years of study: 4, GPA: 2.56
Student: Student18, id: 1018, gender: M, discipline: Engineering, years of study: 2, GPA: 2.49
